Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,regulation of carbohydrate metabolic process,3.70E-01,21,8.80E-01,16,5.90E-01,22,8.60E-01,14,8.40E-01,19,8.50E-01,17,9.20E-01,15
GOTERM_BP_5,odontogenesis of dentine-containing tooth,2.50E-01,22,8.00E-01,17,2.30E-01,25,5.40E-01,17,8.40E-01,19,8.50E-01,17,5.40E-01,19
GOTERM_BP_5,regulation of heart contraction,7.50E-01,35,9.20E-01,31,1.00E+00,#N/A,8.10E-01,29,8.30E-01,38,6.20E-01,37,9.40E-01,30
GOTERM_BP_5,post-Golgi vesicle-mediated transport,1.40E-01,33,2.30E-02,36,1.70E-02,41,8.80E-03,34,1.80E-02,40,5.10E-03,39,3.20E-02,35
GOTERM_BP_5,regulation of protein secretion,9.70E-01,22,9.20E-01,23,1.00E+00,#N/A,9.70E-01,18,1.00E+00,22,9.90E-01,21,1.00E+00,18
GOTERM_BP_5,catecholamine metabolic process,5.80E-01,17,5.40E-01,17,3.70E-01,21,7.90E-01,13,3.00E-01,21,2.20E-01,20,1.50E-01,20
GOTERM_BP_5,neurotransmitter secretion,8.10E-01,15,7.80E-01,15,8.50E-01,17,8.80E-01,12,3.00E-01,21,8.30E-01,15,5.00E-01,17
GOTERM_BP_5,catechol metabolic process,5.80E-01,17,5.40E-01,17,3.70E-01,21,7.90E-01,13,3.00E-01,21,2.20E-01,20,1.50E-01,20
GOTERM_BP_5,regulation of neurogenesis,4.30E-01,81,6.60E-01,76,1.70E-01,98,2.10E-01,74,5.70E-01,88,3.80E-01,83,4.50E-01,78
GOTERM_BP_5,regulation of calcium ion transport into cytosol,6.70E-01,14,6.40E-01,14,8.00E-01,15,2.60E-01,15,6.20E-01,16,8.10E-01,13,6.10E-01,14
GOTERM_BP_5,positive regulation of phosphorus metabolic process,6.40E-01,47,9.20E-01,41,1.00E+00,#N/A,7.40E-01,39,9.50E-01,46,9.30E-01,42,8.90E-01,41
GOTERM_BP_5,regulation of blood pressure,7.80E-01,45,5.70E-01,47,7.90E-01,52,5.90E-01,41,2.90E-01,57,3.70E-01,51,8.50E-01,42
GOTERM_BP_5,positive regulation of phosphate metabolic process,6.40E-01,47,9.20E-01,41,1.00E+00,#N/A,7.40E-01,39,9.50E-01,46,9.30E-01,42,8.90E-01,41
GOTERM_BP_5,vesicle docking during exocytosis,7.70E-01,11,4.40E-01,13,5.90E-01,14,5.40E-01,11,6.80E-01,13,7.90E-01,11,7.20E-01,11
GOTERM_BP_5,nucleoside triphosphate catabolic process,4.70E-01,13,6.00E-01,12,4.30E-01,15,2.30E-01,13,6.80E-01,13,3.40E-01,14,2.60E-01,14
GOTERM_BP_5,photoreceptor cell development,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of synapse structure and activity,6.30E-01,12,7.50E-01,11,5.90E-01,14,3.70E-01,12,6.80E-01,13,5.00E-01,13,7.20E-01,11
GOTERM_BP_5,amine biosynthetic process,2.00E-02,49,7.40E-03,50,7.50E-02,52,2.60E-02,43,6.40E-02,51,1.50E-02,50,4.60E-02,46
GOTERM_BP_5,"negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",8.30E-01,233,9.70E-01,219,3.00E-01,286,7.20E-01,203,9.30E-01,255,9.60E-01,228,9.30E-01,219
GOTERM_BP_5,DNA fragmentation involved in apoptosis,5.20E-02,14,4.00E-03,16,2.50E-02,16,4.00E-02,13,5.30E-02,15,5.80E-03,16,1.30E-02,15
GOTERM_BP_5,centrosome cycle,4.00E-01,11,4.50E-02,14,4.70E-01,12,2.00E-01,11,1.30E-01,14,2.60E-01,12,9.60E-02,13
GOTERM_BP_5,positive regulation of biomineral formation,2.40E-01,12,1.00E+00,#N/A,6.50E-01,11,3.50E-01,10,7.60E-01,10,6.10E-01,10,5.30E-01,10
GOTERM_BP_5,bile acid metabolic process,1.20E-01,13,1.50E-02,15,6.70E-03,17,4.00E-02,13,4.50E-03,17,5.80E-03,16,3.90E-02,14
GOTERM_BP_5,cartilage condensation,1.00E+00,#N/A,1.00E+00,#N/A,3.00E-01,13,2.00E-01,11,4.10E-01,12,4.30E-01,11,1.00E+00,#N/A
GOTERM_BP_5,smoothened signaling pathway,5.90E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,5.30E-01,10
GOTERM_BP_5,intra-Golgi vesicle-mediated transport,1.20E-01,13,1.10E-01,13,4.70E-01,12,2.00E-01,11,5.30E-02,15,4.30E-01,11,2.00E-01,12
GOTERM_BP_5,determination of bilateral symmetry,6.00E-01,21,8.60E-01,18,6.10E-01,24,8.90E-01,15,1.90E-01,27,5.10E-01,22,3.90E-01,22
GOTERM_BP_5,regulation of osteoblast differentiation,6.00E-01,21,7.70E-01,19,1.70E-01,28,6.00E-02,24,4.00E-01,25,1.20E-01,26,5.10E-01,21
GOTERM_BP_5,erythrocyte differentiation,9.80E-01,15,9.50E-01,16,8.80E-01,21,9.70E-01,13,9.90E-01,17,9.40E-01,17,1.00E+00,12
GOTERM_BP_5,regulation of polysaccharide biosynthetic process,6.10E-02,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of glucan biosynthetic process,6.10E-02,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of chondrocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,3.20E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of smooth muscle cell proliferation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,muscle maintenance,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,syncytium formation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of actin filament bundle formation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of ossification,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,synaptic vesicle endocytosis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,mRNA splice site selection,6.10E-02,11,1.40E-01,10,3.20E-01,10,1.00E+00,#N/A,2.80E-01,10,1.70E-01,10,1.00E+00,#N/A
GOTERM_BP_5,endosome to lysosome transport,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of glycogen biosynthetic process,6.10E-02,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,nitric oxide mediated signal transduction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,6.40E-02,10,1.30E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of epidermal cell differentiation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of interleukin-1 beta production,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,ovulation,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,amino acid transport,2.60E-01,47,2.10E-01,47,3.00E-01,53,5.00E-01,38,5.80E-01,48,2.40E-01,48,3.80E-01,44
GOTERM_BP_5,regulation of smooth muscle contraction,6.80E-01,18,7.60E-01,17,8.50E-01,19,3.60E-01,18,5.70E-01,21,8.10E-01,17,9.00E-01,15
GOTERM_BP_5,regulation of cellular carbohydrate metabolic process,4.30E-01,20,9.10E-01,15,6.50E-01,21,9.10E-01,13,8.80E-01,18,8.90E-01,16,9.40E-01,14
GOTERM_BP_5,DNA integrity checkpoint,6.20E-01,25,6.70E-01,24,1.20E-01,34,6.70E-01,21,9.10E-01,24,9.90E-01,18,9.30E-01,20
GOTERM_BP_5,glutamine family amino acid metabolic process,5.00E-02,32,1.10E-01,30,1.90E-01,33,3.60E-02,29,2.80E-01,31,1.60E-01,30,1.50E-01,29
GOTERM_BP_5,male gonad development,3.00E-01,28,7.70E-01,23,6.90E-01,28,7.70E-01,20,7.90E-01,26,7.50E-01,24,8.80E-01,21
GOTERM_BP_5,smooth muscle contraction,6.50E-01,16,6.10E-01,16,7.00E-01,18,7.50E-01,13,3.50E-01,20,1.70E-01,20,7.10E-01,15
GOTERM_BP_5,antigen receptor-mediated signaling pathway,9.20E-01,13,4.70E-01,17,7.00E-01,18,8.50E-01,12,9.60E-01,14,8.80E-01,14,5.80E-01,16
GOTERM_BP_5,phospholipid transport,9.20E-01,13,8.40E-01,14,8.10E-01,17,3.50E-01,16,9.10E-01,15,9.30E-01,13,8.10E-01,14
GOTERM_BP_5,mRNA export from nucleus,6.50E-01,16,7.40E-01,15,1.90E-01,22,4.80E-01,15,4.90E-01,19,1.70E-01,20,5.80E-01,16
GOTERM_BP_5,activation of immune response,9.30E-01,39,3.50E-01,47,7.10E-01,50,9.50E-01,32,9.70E-01,42,6.20E-01,45,8.70E-01,39
GOTERM_BP_5,negative regulation of neurological system process,6.10E-01,14,5.70E-01,14,7.50E-01,15,4.80E-01,13,5.40E-01,16,4.90E-01,15,6.80E-01,13
GOTERM_BP_5,fatty acid transport,1.00E+00,#N/A,8.30E-01,12,1.00E+00,#N/A,6.30E-01,12,8.90E-01,13,8.70E-01,12,9.50E-01,10
GOTERM_BP_5,positive regulation of DNA replication,4.60E-01,15,1.70E-01,17,3.20E-01,18,3.30E-01,14,5.40E-01,16,7.70E-01,13,5.40E-01,14
GOTERM_BP_5,regulation of fatty acid oxidation,3.20E-01,16,2.80E-01,16,2.00E-01,19,6.30E-01,12,6.90E-01,15,2.10E-01,17,3.90E-01,15
GOTERM_BP_5,proton transport,1.20E-01,35,5.80E-01,29,7.60E-01,32,1.10E-01,31,4.70E-01,34,5.70E-01,30,5.30E-01,29
GOTERM_BP_5,regulation of transcription factor activity,8.50E-01,45,5.20E-01,49,2.50E-01,61,4.40E-01,44,5.70E-01,55,3.30E-01,53,7.60E-01,45
GOTERM_BP_5,intracellular receptor-mediated signaling pathway,1.70E-01,41,3.30E-03,48,1.10E-02,52,7.80E-02,38,1.30E-01,46,2.00E-01,41,7.30E-02,42
GOTERM_BP_5,negative regulation of gene expression,8.10E-01,230,8.90E-01,222,3.20E-01,281,5.40E-01,205,8.70E-01,255,7.90E-01,234,8.30E-01,221
GOTERM_BP_5,response to vitamin A,7.70E-01,19,7.30E-01,19,8.50E-01,21,6.80E-01,17,9.80E-01,17,9.60E-01,16,8.70E-01,17
GOTERM_BP_5,determination of left/right symmetry,6.60E-01,20,8.90E-01,17,6.60E-01,23,9.30E-01,14,2.30E-01,26,5.80E-01,21,4.60E-01,21
GOTERM_BP_5,heart contraction,1.00E+00,#N/A,5.30E-01,12,9.00E-01,11,1.80E-01,13,1.60E-01,16,1.50E-01,15,6.60E-01,11
GOTERM_BP_5,negative regulation of angiogenesis,7.20E-01,11,8.20E-01,10,6.70E-01,13,1.00E+00,#N/A,8.60E-01,11,8.50E-01,10,8.00E-01,10
GOTERM_BP_5,sulfur amino acid metabolic process,6.40E-02,16,5.50E-02,16,2.00E-01,16,3.10E-01,12,1.60E-01,16,2.70E-01,14,1.00E-01,15
GOTERM_BP_5,retinoid metabolic process,2.60E-02,17,2.20E-01,14,2.00E-01,16,1.80E-01,13,7.50E-01,12,5.80E-01,12,6.60E-01,11
GOTERM_BP_5,cell structure disassembly during apoptosis,2.50E-01,14,2.10E-02,17,1.00E-01,17,9.10E-02,14,1.60E-01,16,7.30E-02,16,4.70E-02,16
GOTERM_BP_5,negative regulation of blood coagulation,8.40E-01,10,3.60E-01,13,5.10E-01,14,4.70E-01,11,9.40E-01,10,5.80E-01,12,3.40E-01,13
GOTERM_BP_5,positive regulation of peptide secretion,5.60E-01,12,6.90E-01,11,6.70E-01,13,3.10E-01,12,7.50E-01,12,5.80E-01,12,8.00E-01,10
GOTERM_BP_5,positive regulation of cytokine secretion,7.20E-01,11,8.20E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,8.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of DNA metabolic process,5.00E-01,28,7.50E-01,25,3.90E-01,33,6.30E-01,23,7.10E-01,29,9.20E-01,23,9.50E-01,21
GOTERM_BP_5,negative regulation of catabolic process,3.70E-01,20,2.20E-01,21,2.20E-01,24,8.00E-01,14,8.40E-01,18,5.30E-01,19,5.50E-01,18
GOTERM_BP_5,sterol transport,5.00E-01,19,7.10E-01,17,5.90E-01,21,1.00E+00,#N/A,9.50E-01,16,8.60E-01,16,8.70E-01,15
GOTERM_BP_5,cholesterol transport,5.00E-01,19,7.10E-01,17,5.90E-01,21,1.00E+00,#N/A,9.50E-01,16,8.60E-01,16,8.70E-01,15
GOTERM_BP_5,biomineral formation,7.40E-01,17,8.90E-01,15,7.10E-01,20,3.10E-01,18,7.50E-01,19,6.60E-01,18,3.00E-01,20
GOTERM_BP_5,regulation of G-protein coupled receptor protein signaling pathway,7.70E-01,23,9.30E-01,20,1.00E+00,#N/A,5.20E-01,22,6.50E-01,27,9.80E-01,19,6.90E-01,23
GOTERM_BP_5,development of primary male sexual characteristics,4.20E-01,33,8.80E-01,27,6.80E-01,35,8.40E-01,24,8.30E-01,32,8.80E-01,28,9.00E-01,26
GOTERM_BP_5,neuron maturation,3.20E-01,11,2.90E-01,11,2.10E-01,13,1.00E+00,#N/A,5.00E-01,11,3.40E-01,11,2.70E-01,11
GOTERM_BP_5,glycoprotein catabolic process,2.90E-02,14,2.90E-01,11,3.70E-01,12,1.00E+00,#N/A,7.60E-02,14,5.20E-01,10,2.70E-01,11
GOTERM_BP_5,G1 phase of mitotic cell cycle,3.20E-01,11,1.60E-01,12,9.90E-02,14,2.80E-01,10,6.80E-01,10,5.20E-01,10,1.00E+00,#N/A
GOTERM_BP_5,regulation of cytokine production during immune response,1.00E+00,#N/A,1.00E+00,#N/A,7.30E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,chondrocyte differentiation,5.00E-01,10,1.00E+00,#N/A,2.10E-01,13,2.80E-01,10,1.00E+00,#N/A,5.20E-01,10,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of bone mineralization,3.20E-01,11,1.00E+00,#N/A,5.60E-01,11,2.80E-01,10,6.80E-01,10,5.20E-01,10,4.40E-01,10
GOTERM_BP_5,regulation of cytokine biosynthetic process,9.90E-01,27,9.70E-01,28,8.70E-01,37,9.40E-01,25,1.00E+00,28,9.50E-01,30,9.60E-01,28
GOTERM_BP_5,tissue regeneration,9.50E-01,12,9.70E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,9.70E-01,13,9.60E-01,12,8.70E-01,13
GOTERM_BP_5,regulation of Wnt receptor signaling pathway,2.10E-01,26,3.70E-01,24,9.20E-02,31,4.00E-01,21,1.70E-01,29,1.50E-01,27,1.50E-01,26
GOTERM_BP_5,cellular respiration,3.20E-04,64,1.50E-03,61,4.20E-03,67,2.20E-04,58,3.50E-04,69,2.40E-04,65,4.00E-05,65
GOTERM_BP_5,cellular response to heat,1.00E+00,#N/A,8.50E-02,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,7.60E-02,10
GOTERM_BP_5,regulation of microtubule polymerization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of microtubule polymerization or depolymerization,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of transforming growth factor beta receptor signaling pathway,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,methionine metabolic process,9.50E-02,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of histone modification,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of lyase activity,7.50E-01,25,7.90E-01,24,8.90E-01,27,9.10E-01,19,9.30E-01,25,1.00E+00,17,9.60E-01,20
GOTERM_BP_5,negative regulation of cyclase activity,7.50E-01,25,7.90E-01,24,8.90E-01,27,9.10E-01,19,9.30E-01,25,1.00E+00,17,9.60E-01,20
GOTERM_BP_5,positive regulation of protein secretion,8.90E-01,17,9.60E-01,15,1.00E+00,#N/A,8.40E-01,15,9.50E-01,18,9.70E-01,15,9.90E-01,13
GOTERM_BP_5,positive regulation of epithelial cell proliferation,2.50E-01,23,6.80E-01,19,6.00E-01,23,2.80E-01,20,5.20E-01,23,5.20E-01,21,4.00E-01,21
GOTERM_BP_5,regulation of transmembrane transport,6.90E-01,13,8.80E-01,11,8.00E-01,14,1.00E+00,#N/A,9.30E-01,12,7.10E-01,13,8.60E-01,11
GOTERM_BP_5,male sex differentiation,4.10E-01,37,9.30E-01,29,6.20E-01,40,8.90E-01,26,8.80E-01,35,7.90E-01,33,8.20E-01,31
GOTERM_BP_5,positive regulation of cellular catabolic process,3.10E-01,20,6.60E-01,17,7.60E-01,19,6.40E-01,15,8.80E-01,17,6.00E-01,18,4.90E-01,18
GOTERM_BP_5,hippocampus development,9.20E-02,15,4.50E-01,12,5.80E-01,13,1.00E+00,#N/A,3.50E-01,14,1.00E+00,#N/A,7.40E-01,10
GOTERM_BP_5,regulation of cell-cell adhesion,7.90E-01,10,7.70E-01,10,5.80E-01,13,5.70E-01,10,9.10E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of striated muscle contraction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,9.10E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,heart looping,7.90E-01,10,7.70E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,5.20E-01,13,8.10E-01,10,1.00E+00,#N/A
GOTERM_BP_5,endothelial cell migration,1.00E+00,#N/A,6.20E-01,11,7.40E-01,12,1.00E+00,#N/A,8.20E-01,11,8.10E-01,10,1.00E+00,#N/A
GOTERM_BP_5,hormone secretion,5.90E-01,22,9.70E-01,16,5.00E-01,26,7.00E-01,18,8.30E-01,22,8.20E-01,20,9.90E-01,14
GOTERM_BP_5,protein-DNA complex assembly,1.70E-01,49,1.30E-04,61,2.70E-03,64,4.90E-04,54,9.70E-04,64,3.00E-05,64,3.40E-01,45
GOTERM_BP_5,glycolipid metabolic process,2.50E-01,18,4.80E-01,16,6.90E-01,17,1.40E-01,17,6.20E-01,17,5.50E-01,16,2.00E-01,18
GOTERM_BP_5,regulation of chemotaxis,8.70E-01,13,8.50E-01,13,8.00E-01,16,5.10E-01,14,9.20E-01,14,5.50E-01,16,9.10E-01,12
GOTERM_BP_5,regulation of action potential in neuron,8.60E-01,23,5.60E-01,26,6.00E-01,30,9.40E-01,18,7.10E-01,28,9.30E-01,22,6.20E-01,25
GOTERM_BP_5,regulation of actin filament polymerization,9.20E-01,22,8.90E-01,22,1.00E+00,#N/A,5.40E-01,23,7.10E-01,28,9.30E-01,22,8.70E-01,22
GOTERM_BP_5,eye development,1.00E+00,41,1.00E+00,46,1.00E+00,#N/A,9.90E-01,43,1.00E+00,54,9.90E-01,51,1.00E+00,47
GOTERM_BP_5,spindle assembly,2.40E-01,11,1.00E-01,12,2.70E-01,12,2.10E-01,10,2.30E-01,12,4.30E-01,10,3.60E-01,10
GOTERM_BP_5,negative regulation of microtubule polymerization or depolymerization,1.00E+00,#N/A,3.80E-01,10,4.60E-01,11,1.00E+00,#N/A,4.00E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of interleukin-1 production,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of calcium-mediated signaling,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,membrane lipid catabolic process,4.10E-01,10,3.80E-01,10,4.60E-01,11,1.00E+00,#N/A,4.00E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of protein import into nucleus,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,gene silencing by miRNA,1.00E+00,#N/A,1.00E+00,#N/A,6.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,4.30E-01,10,1.00E+00,#N/A
GOTERM_BP_5,homeostasis of number of cells within a tissue,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of interleukin-12 production,1.00E+00,#N/A,1.00E+00,#N/A,4.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,4.30E-01,10,1.00E+00,#N/A
GOTERM_BP_5,fructose metabolic process,2.40E-01,11,1.00E+00,#N/A,4.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,4.30E-01,10,1.00E+00,#N/A
GOTERM_BP_5,"nucleotide-excision repair, DNA gap filling",1.00E+00,#N/A,1.00E+00,#N/A,4.60E-01,11,1.00E+00,#N/A,4.00E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of small GTPase mediated signal transduction,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,4.00E-01,11,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,response to amino acid stimulus,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,vesicle docking,8.60E-01,11,4.30E-01,14,6.00E-01,15,5.00E-01,12,6.80E-01,14,7.80E-01,12,8.20E-01,11
GOTERM_BP_5,serine family amino acid metabolic process,4.90E-02,18,1.60E-02,19,4.10E-02,20,5.90E-02,16,1.40E-01,18,8.20E-03,20,3.40E-02,18
GOTERM_BP_5,regulation of immunoglobulin production,7.60E-01,12,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,apoptotic nuclear changes,3.20E-01,15,1.60E-02,19,9.20E-02,19,5.90E-02,16,6.70E-02,19,2.30E-02,19,1.30E-02,19
GOTERM_BP_5,negative regulation of hormone secretion,7.60E-01,12,5.90E-01,13,7.40E-01,14,3.50E-01,13,8.10E-01,13,4.90E-01,14,8.20E-01,11
GOTERM_BP_5,cellular polysaccharide biosynthetic process,1.00E-01,17,4.30E-01,14,4.50E-01,16,6.60E-01,11,2.40E-01,17,3.40E-01,15,5.50E-01,13
GOTERM_BP_5,negative regulation of coagulation,8.60E-01,11,4.30E-01,14,6.00E-01,15,5.00E-01,12,9.50E-01,11,6.50E-01,13,4.00E-01,14
GOTERM_BP_5,positive regulation of fibroblast proliferation,1.00E+00,#N/A,1.00E+00,#N/A,7.40E-01,14,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of transmembrane transporter activity,7.60E-01,12,9.20E-01,10,8.50E-01,13,1.00E+00,#N/A,9.50E-01,11,7.80E-01,12,9.10E-01,10
GOTERM_BP_5,limb morphogenesis,3.60E-01,50,6.90E-01,45,2.30E-01,59,5.60E-01,41,6.40E-01,52,3.40E-01,51,7.10E-01,44
GOTERM_BP_5,microtubule organizing center organization,2.50E-01,20,6.70E-03,25,3.10E-01,22,1.30E-01,19,4.20E-02,25,1.80E-01,21,6.20E-02,22
GOTERM_BP_5,regulation of glucose metabolic process,3.70E-01,19,8.20E-01,15,5.80E-01,20,8.20E-01,13,8.40E-01,17,7.80E-01,16,8.80E-01,14
GOTERM_BP_5,metanephros development,9.50E-01,17,9.90E-01,14,1.00E+00,#N/A,1.00E+00,11,1.00E+00,16,1.00E+00,13,9.80E-01,15
GOTERM_BP_5,glycoprotein biosynthetic process,4.10E-02,87,7.80E-01,70,7.10E-01,84,2.90E-01,69,8.30E-01,79,2.20E-01,82,7.20E-01,70
GOTERM_BP_5,germ cell migration,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,embryonic gut development,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,C21-steroid hormone metabolic process,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,erythrocyte development,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of phagocytosis,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of calcium ion transport,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
