Category,Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,negative regulation of biosynthetic process,0.71,93,0.77,87,0.23,124,0.29,87,0.73,103,0.59,97,0.75,83
GOTERM_BP_5,neural tube development,0.61,12,0.78,10,0.64,14,1,#N/A,0.84,11,0.5,13,0.73,10
GOTERM_BP_5,positive regulation of cell adhesion,1,#N/A,0.37,12,0.57,13,0.22,12,0.45,13,0.45,12,1,#N/A
GOTERM_BP_5,dorsal/ventral pattern formation,0.57,11,0.64,10,0.57,13,1,#N/A,0.71,11,0.58,11,0.3,12
GOTERM_BP_5,gene silencing,1,#N/A,0.55,10,0.46,13,1,#N/A,0.62,11,0.63,10,1,#N/A
GOTERM_BP_5,Notch signaling pathway,0.38,11,0.2,12,0.49,12,0.31,10,0.52,11,0.26,12,0.16,12
GOTERM_BP_5,glutamine family amino acid metabolic process,0.38,11,0.2,12,0.49,12,0.19,11,0.52,11,0.39,11,0.26,11
GOTERM_BP_5,phagocytosis,1,#N/A,0.23,11,0.66,10,1,#N/A,0.56,10,1,#N/A,0.3,10
GOTERM_BP_5,negative regulation of cell development,1,#N/A,1,#N/A,0.25,13,1,#N/A,0.41,11,0.43,10,1,#N/A
GOTERM_BP_5,B cell differentiation,0.42,10,1,#N/A,0.38,12,1,#N/A,0.41,11,1,#N/A,1,#N/A
GOTERM_BP_5,organic anion transport,0.32,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,isoprenoid metabolic process,0.11,12,0.27,10,1,#N/A,1,#N/A,1,#N/A,0.33,10,1,#N/A
GOTERM_BP_5,"energy coupled proton transport, down electrochemical gradient",0.22,10,1,#N/A,1,#N/A,1,#N/A,0.33,10,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of homeostatic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,ATP synthesis coupled proton transport,0.22,10,1,#N/A,1,#N/A,1,#N/A,0.33,10,1,#N/A,1,#N/A
GOTERM_BP_5,formation of primary germ layer,1,#N/A,1,#N/A,0.42,10,1,#N/A,1,#N/A,0.23,10,1,#N/A
GOTERM_BP_5,negative regulation of protein kinase cascade,1,#N/A,0.11,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of defense response,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mesoderm formation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mitotic sister chromatid segregation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,morphogenesis of an epithelium,0.43,19,0.76,15,0.58,21,0.69,14,0.81,17,0.67,17,0.69,15
GOTERM_BP_5,male sex differentiation,0.7,12,1,#N/A,0.83,13,1,#N/A,0.9,11,0.89,10,0.69,11
GOTERM_BP_5,development of primary male sexual characteristics,0.54,12,1,#N/A,0.79,12,1,#N/A,0.8,11,1,#N/A,1,#N/A
GOTERM_BP_5,vasculature development,0.54,43,0.34,44,0.45,53,0.42,38,0.52,48,0.64,42,0.4,41
GOTERM_BP_5,proton transport,0.22,14,0.52,11,0.82,11,0.36,11,0.61,12,0.61,11,0.6,10
GOTERM_BP_5,second-messenger-mediated signaling,0.63,39,0.65,37,0.56,48,0.4,36,0.72,42,0.78,37,0.72,34
GOTERM_BP_5,regulation of intracellular protein transport,1,#N/A,1,#N/A,0.65,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cellular polysaccharide metabolic process,1,#N/A,1,#N/A,0.52,12,1,#N/A,0.54,11,0.56,10,1,#N/A
GOTERM_BP_5,activation of immune response,0.89,13,0.33,18,0.64,19,0.46,15,0.7,17,0.24,20,0.87,12
GOTERM_BP_5,regulation of lipid biosynthetic process,1,#N/A,1,#N/A,0.43,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of neurogenesis,1,#N/A,1,#N/A,0.29,12,1,#N/A,0.47,10,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of peptidase activity,0.71,14,0.14,19,0.59,18,0.33,15,0.44,18,0.62,15,0.33,16
GOTERM_BP_5,cell morphogenesis involved in differentiation,0.66,40,0.61,39,0.61,49,0.57,35,0.57,46,0.63,41,0.4,40
GOTERM_BP_5,carboxylic acid transport,0.83,22,0.75,22,0.86,26,0.9,17,0.8,25,0.54,26,0.92,18
GOTERM_BP_5,ovarian follicle development,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.36,10,1,#N/A,1,#N/A
GOTERM_BP_5,RNA export from nucleus,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,gland development,0.96,17,0.84,19,0.96,21,0.73,18,0.9,21,0.85,20,0.89,17
GOTERM_BP_5,regulation of cytokine biosynthetic process,0.82,11,0.77,11,0.66,15,0.35,13,0.91,11,0.38,15,0.33,14
GOTERM_BP_5,blood vessel development,0.54,42,0.34,43,0.5,51,0.43,37,0.58,46,0.71,40,0.41,40
GOTERM_BP_5,interphase of mitotic cell cycle,0.47,19,0.39,19,0.43,23,0.2,19,0.67,19,0.79,16,0.72,15
GOTERM_BP_5,regulation of cellular response to stress,0.28,21,0.39,19,0.43,23,0.28,18,0.37,22,0.3,21,0.51,17
GOTERM_BP_5,sensory organ development,0.7,37,0.58,37,0.42,49,0.63,32,0.52,44,0.53,40,0.44,37
GOTERM_BP_5,regulation of action potential in neuron,1,#N/A,1,#N/A,0.79,10,1,#N/A,0.7,10,1,#N/A,1,#N/A
GOTERM_BP_5,chromatin modification,0.92,39,0.86,39,0.61,55,0.9,33,0.48,53,0.69,45,0.76,39
GOTERM_BP_5,meiosis I,1,#N/A,1,#N/A,0.48,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of protein stability,1,#N/A,1,#N/A,0.48,10,1,#N/A,0.38,10,1,#N/A,1,#N/A
GOTERM_BP_5,response to insulin stimulus,0.42,19,0.34,19,0.37,23,0.34,17,0.61,19,0.44,19,0.85,13
GOTERM_BP_5,mesoderm morphogenesis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of transferase activity,0.18,21,0.27,19,0.48,21,0.28,17,0.54,19,0.47,18,0.72,14
GOTERM_BP_5,kidney development,0.84,14,0.59,16,0.48,21,0.38,16,0.82,16,0.58,17,0.61,15
GOTERM_BP_5,regulation of neurogenesis,0.61,28,0.5,28,0.5,35,0.25,28,0.54,32,0.71,27,0.72,24
GOTERM_BP_5,positive regulation of cell proliferation,0.56,70,0.75,63,0.65,82,0.33,63,0.94,67,0.6,70,0.82,58
GOTERM_BP_5,hemopoietic or lymphoid organ development,0.76,41,0.51,43,0.56,53,0.58,37,0.88,43,0.73,42,0.7,38
GOTERM_BP_5,negative regulation of DNA binding,1,#N/A,1,#N/A,0.46,12,0.18,11,0.49,11,0.51,10,1,#N/A
GOTERM_BP_5,regulation of G-protein coupled receptor protein signaling pathway,1,#N/A,1,#N/A,0.6,11,0.29,10,0.63,10,1,#N/A,1,#N/A
GOTERM_BP_5,unsaturated fatty acid metabolic process,1,#N/A,0.3,11,0.6,11,1,#N/A,0.49,11,0.37,11,1,#N/A
GOTERM_BP_5,hemopoiesis,0.77,37,0.66,37,0.64,47,0.63,33,0.9,38,0.79,37,0.79,33
GOTERM_BP_5,positive regulation of cell projection organization,1,#N/A,1,#N/A,0.49,11,0.21,10,0.53,10,1,#N/A,1,#N/A
GOTERM_BP_5,erythrocyte differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,respiratory electron transport chain,0.18,15,0.22,14,0.54,14,0.19,13,0.3,15,0.19,15,0.054,16
GOTERM_BP_5,DNA catabolic process,0.3,13,0.5,11,0.57,13,0.48,10,0.71,11,0.45,12,0.43,11
GOTERM_BP_5,hindbrain development,1,#N/A,1,#N/A,0.44,14,1,#N/A,0.71,11,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of neurological system process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cell chemotaxis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,male gonad development,0.38,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mesenchyme development,1,#N/A,1,#N/A,0.49,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of protein catabolic process,1,#N/A,1,#N/A,0.63,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,DNA integrity checkpoint,1,#N/A,1,#N/A,0.49,12,1,#N/A,0.66,10,1,#N/A,1,#N/A
GOTERM_BP_5,M phase of meiotic cell cycle,0.92,13,0.88,13,0.72,19,0.64,14,0.84,16,0.99,10,1,#N/A
GOTERM_BP_5,meiosis,0.92,13,0.88,13,0.72,19,0.64,14,0.84,16,0.99,10,1,#N/A
GOTERM_BP_5,cellular carbohydrate biosynthetic process,0.26,15,0.31,14,0.66,14,0.66,10,0.54,14,0.39,14,0.62,11
GOTERM_BP_5,RNA modification,0.42,10,1,#N/A,0.38,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,T cell differentiation,1,#N/A,1,#N/A,0.79,12,1,#N/A,1,#N/A,0.69,11,0.67,10
GOTERM_BP_5,cellular response to nutrient levels,1,#N/A,1,#N/A,0.54,10,1,#N/A,0.44,10,1,#N/A,1,#N/A
GOTERM_BP_5,protein amino acid N-linked glycosylation,0.32,10,1,#N/A,0.4,11,1,#N/A,0.3,11,0.21,11,1,#N/A
GOTERM_BP_5,eye development,0.91,18,0.87,18,0.6,27,0.85,16,0.76,23,0.75,21,0.73,19
GOTERM_BP_5,leukocyte migration,1,#N/A,1,#N/A,0.84,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,central nervous system neuron differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,small GTPase mediated signal transduction,0.13,60,0.46,51,0.24,68,0.54,44,0.53,58,0.64,51,0.36,50
GOTERM_BP_5,mesoderm development,0.82,11,0.77,11,0.43,17,0.74,10,0.53,15,0.38,15,0.45,13
GOTERM_BP_5,brain development,0.87,43,0.87,41,0.72,56,0.77,38,0.93,46,0.94,41,0.96,35
GOTERM_BP_5,receptor-mediated endocytosis,1,#N/A,1,#N/A,0.65,11,1,#N/A,0.68,10,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of DNA binding,0.65,12,0.58,12,0.45,16,0.18,14,0.68,13,0.66,12,0.76,10
GOTERM_BP_5,protein processing,0.99,11,0.73,17,0.89,19,0.93,12,0.72,20,0.65,19,0.83,15
GOTERM_BP_5,ear morphogenesis,0.43,13,0.63,11,0.59,14,1,#N/A,0.59,13,0.45,13,0.69,10
GOTERM_BP_5,translational initiation,1,#N/A,1,#N/A,0.57,10,1,#N/A,0.47,10,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of cellular metabolic process,0.76,142,0.67,138,0.71,173,0.5,126,0.91,151,0.89,138,0.59,133
GOTERM_BP_5,excretion,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of membrane potential,0.95,17,0.88,18,0.89,23,0.87,16,0.71,24,0.98,16,0.88,17
GOTERM_BP_5,regulation of intracellular transport,1,#N/A,0.72,11,0.7,14,1,#N/A,0.93,10,0.88,10,0.77,10
GOTERM_BP_5,positive regulation of epithelial cell proliferation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of cyclin-dependent protein kinase activity,0.57,10,0.51,10,0.54,12,1,#N/A,0.7,10,1,#N/A,0.44,10
GOTERM_BP_5,epithelial tube morphogenesis,0.71,11,1,#N/A,0.73,13,1,#N/A,0.9,10,0.73,11,1,#N/A
GOTERM_BP_5,regulation of transmission of nerve impulse,0.98,17,0.88,20,0.9,25,0.9,17,0.9,23,1,15,1,12
GOTERM_BP_5,regulation of defense response,0.96,18,0.9,19,0.76,27,0.37,23,0.87,23,0.39,27,0.89,18
GOTERM_BP_5,regulation of cell-substrate adhesion,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,monovalent inorganic cation transport,0.82,49,0.97,41,0.9,57,0.86,40,0.95,50,0.95,45,0.86,43
GOTERM_BP_5,phospholipid metabolic process,0.81,29,0.98,22,0.81,35,0.91,22,0.98,26,0.83,29,0.94,23
GOTERM_BP_5,response to vitamin A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,osteoblast differentiation,1,#N/A,1,#N/A,0.48,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of synaptic transmission,0.98,16,0.94,17,0.94,22,0.88,16,0.94,20,1,13,1,12
GOTERM_BP_5,positive regulation of macromolecule biosynthetic process,0.93,98,0.79,99,0.72,128,0.72,89,0.95,108,0.9,101,0.59,99
GOTERM_BP_5,regulation of neurological system process,0.98,18,0.91,20,0.91,26,0.93,17,0.9,24,1,15,1,12
GOTERM_BP_5,regulation of B cell activation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mesenchymal cell development,1,#N/A,1,#N/A,0.6,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,mesenchymal cell differentiation,1,#N/A,1,#N/A,0.6,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,cell fate specification,1,#N/A,1,#N/A,0.73,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,RNA elongation,0.5,10,1,#N/A,0.6,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,embryonic skeletal system development,0.86,11,0.81,11,0.61,16,0.78,10,0.7,14,0.68,13,0.85,10
GOTERM_BP_5,response to lipopolysaccharide,0.77,12,0.47,14,0.61,16,0.29,14,0.7,14,0.68,13,0.28,15
GOTERM_BP_5,positive regulation of immune response,1,15,0.65,23,0.89,25,0.59,21,0.89,23,0.51,26,0.79,20
GOTERM_BP_5,placenta development,0.7,10,1,#N/A,0.44,14,0.34,11,0.82,10,0.45,12,0.19,13
GOTERM_BP_5,heart morphogenesis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.83,12,0.72,12,1,#N/A
GOTERM_BP_5,positive regulation of defense response,1,#N/A,0.85,10,0.63,15,0.6,11,0.83,12,0.6,13,0.8,10
GOTERM_BP_5,response to molecule of bacterial origin,0.8,13,0.52,15,0.59,18,0.23,16,0.76,15,0.62,15,0.33,16
GOTERM_BP_5,eye morphogenesis,1,#N/A,1,#N/A,0.66,14,1,#N/A,0.66,13,0.76,11,0.74,10
GOTERM_BP_5,ATP synthesis coupled electron transport,0.34,12,0.41,11,0.72,11,0.4,10,0.48,12,0.35,12,0.13,13
GOTERM_BP_5,response to hydrogen peroxide,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,G1/S transition of mitotic cell cycle,1,#N/A,1,#N/A,0.83,10,1,#N/A,0.74,10,1,#N/A,1,#N/A
GOTERM_BP_5,immune response-regulating signal transduction,0.62,10,1,#N/A,0.72,11,0.4,10,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,branching morphogenesis of a tube,0.54,12,0.61,11,0.57,14,0.58,10,0.57,13,0.56,12,0.4,12
GOTERM_BP_5,regulation of blood pressure,0.93,13,0.83,14,0.93,16,0.85,12,0.79,17,0.75,16,0.95,11
GOTERM_BP_5,segmentation,1,#N/A,1,#N/A,0.66,10,1,#N/A,0.41,11,1,#N/A,1,#N/A
GOTERM_BP_5,cation transport,0.77,88,0.8,83,0.89,102,0.72,75,0.91,93,0.91,84,0.85,77
GOTERM_BP_5,embryonic skeletal system morphogenesis,1,#N/A,1,#N/A,0.74,11,1,#N/A,0.64,11,1,#N/A,1,#N/A
GOTERM_BP_5,skeletal muscle organ development,1,#N/A,1,#N/A,0.94,10,1,#N/A,0.89,10,1,#N/A,1,#N/A
GOTERM_BP_5,forebrain development,0.97,19,0.97,18,0.93,25,0.96,16,0.96,22,0.97,19,0.99,15
GOTERM_BP_5,DNA replication,0.86,28,0.72,29,0.56,39,0.44,29,0.77,33,0.63,32,0.61,29
GOTERM_BP_5,leukocyte differentiation,0.79,20,0.8,19,0.74,25,0.85,16,0.92,20,0.66,22,0.72,19
GOTERM_BP_5,positive regulation of lymphocyte activation,0.91,13,1,#N/A,0.91,16,0.9,11,0.99,11,0.7,16,0.52,16
GOTERM_BP_5,positive regulation of biosynthetic process,0.92,105,0.8,105,0.72,136,0.74,94,0.97,113,0.91,107,0.64,104
GOTERM_BP_5,regulation of fatty acid metabolic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of catabolic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,erythrocyte homeostasis,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of nucleocytoplasmic transport,1,#N/A,1,#N/A,0.76,11,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of gene expression,0.96,84,0.78,88,0.77,112,0.79,77,0.96,94,0.95,86,0.5,90
GOTERM_BP_5,regulation of leukocyte activation,0.98,20,0.98,19,0.88,29,0.91,19,1,20,0.78,26,0.47,27
GOTERM_BP_5,positive regulation of protein transport,0.82,10,1,#N/A,0.82,12,0.48,11,0.9,10,0.73,11,0.71,10
GOTERM_BP_5,central nervous system development,0.98,58,0.97,56,0.85,79,0.94,51,0.98,65,0.99,56,1,48
GOTERM_BP_5,phospholipid biosynthetic process,0.66,17,0.91,13,0.69,20,0.87,12,0.93,15,0.85,15,0.87,13
GOTERM_BP_5,positive regulation of T cell activation,0.91,10,1,#N/A,0.92,12,0.77,10,1,#N/A,0.54,14,0.49,13
GOTERM_BP_5,positive regulation of cellular biosynthetic process,0.94,102,0.84,102,0.75,133,0.76,92,0.97,111,0.93,104,0.66,102
GOTERM_BP_5,positive regulation of nitrogen compound metabolic process,0.9,98,0.77,98,0.64,128,0.74,87,0.96,105,0.97,94,0.65,96
GOTERM_BP_5,polysaccharide biosynthetic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,"positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",0.92,94,0.8,94,0.68,123,0.75,84,0.97,101,0.98,90,0.69,92
GOTERM_BP_5,synaptic transmission,0.6,50,0.64,47,0.75,57,0.78,39,0.73,53,0.74,48,0.73,43
GOTERM_BP_5,regulation of transcription factor activity,0.77,16,0.79,15,0.62,21,0.2,19,0.75,18,0.79,16,0.88,13
GOTERM_BP_5,positive regulation of cytokine production,0.91,12,0.7,14,0.94,14,0.51,14,0.88,14,0.69,15,0.73,13
GOTERM_BP_5,positive regulation of RNA metabolic process,0.98,66,0.83,71,0.78,92,0.9,60,0.97,76,0.95,70,0.73,70
GOTERM_BP_5,"positive regulation of transcription, DNA-dependent",0.98,65,0.85,70,0.79,91,0.89,60,0.96,76,0.95,70,0.7,70
GOTERM_BP_5,embryonic organ development,0.82,26,0.86,24,0.59,35,0.73,23,0.82,29,0.64,29,0.71,25
GOTERM_BP_5,positive regulation of transcription,0.95,82,0.79,85,0.76,109,0.82,74,0.96,91,0.95,83,0.51,87
GOTERM_BP_5,positive regulation of lymphocyte proliferation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.61,10,1,#N/A
GOTERM_BP_5,positive regulation of mononuclear cell proliferation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.63,10,1,#N/A
GOTERM_BP_5,inner ear morphogenesis,1,#N/A,1,#N/A,0.83,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of leukocyte proliferation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.63,10,1,#N/A
GOTERM_BP_5,anterior/posterior pattern formation,0.82,21,0.95,17,0.64,28,0.71,19,0.72,25,0.7,23,0.82,19
GOTERM_BP_5,chromatin assembly or disassembly,0.88,18,0.57,21,0.76,24,0.43,20,0.69,23,0.6,22,0.75,18
GOTERM_BP_5,sterol metabolic process,0.54,18,0.56,17,0.76,19,0.46,16,0.63,19,0.46,19,0.27,19
GOTERM_BP_5,metal ion transport,0.89,70,0.93,65,0.89,85,0.92,57,0.96,74,0.98,65,0.91,62
GOTERM_BP_5,immune response-activating signal transduction,1,#N/A,1,#N/A,0.75,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,"negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process",0.85,79,0.91,73,0.59,103,0.54,73,0.91,86,0.88,79,0.91,69
GOTERM_BP_5,nucleosome organization,0.81,14,0.53,16,0.72,18,0.56,14,0.48,19,0.64,16,0.78,13
GOTERM_BP_5,regulation of cellular ketone metabolic process,1,#N/A,0.58,10,0.84,10,1,#N/A,1,#N/A,0.65,10,1,#N/A
GOTERM_BP_5,spermatogenesis,0.96,42,0.9,43,0.99,49,0.97,34,0.97,47,1,34,0.91,40
GOTERM_BP_5,learning or memory,0.7,18,0.8,16,0.83,20,0.72,15,0.9,17,0.8,17,0.93,13
GOTERM_BP_5,positive regulation of cell activation,0.95,14,1,#N/A,0.96,17,0.93,12,1,12,0.8,17,0.63,17
GOTERM_BP_5,negative regulation of phosphorus metabolic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,negative regulation of phosphate metabolic process,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,chemotaxis,0.88,23,0.87,22,0.88,28,0.68,22,0.94,24,0.89,23,0.94,19
GOTERM_BP_5,tissue development,1,80,1,85,0.93,121,0.93,83,0.92,112,0.97,97,1,77
GOTERM_BP_5,epidermal cell differentiation,1,#N/A,1,#N/A,0.89,12,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of lymphocyte differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,0.5,11
GOTERM_BP_5,negative regulation of gene expression,0.84,78,0.92,71,0.56,102,0.59,71,0.93,83,0.87,78,0.88,69
GOTERM_BP_5,negative regulation of transcription,0.87,70,0.94,63,0.6,92,0.63,64,0.94,75,0.91,69,0.89,62
GOTERM_BP_5,epithelium development,0.96,30,0.99,26,0.94,38,0.93,26,0.96,34,0.99,28,1,22
GOTERM_BP_5,negative regulation of nitrogen compound metabolic process,0.88,79,0.93,73,0.65,103,0.59,73,0.93,86,0.91,79,0.93,69
GOTERM_BP_5,monocarboxylic acid transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of cell development,1,#N/A,1,#N/A,0.77,13,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,germ cell development,0.98,11,0.9,13,0.98,14,0.96,10,0.95,14,0.99,10,1,#N/A
GOTERM_BP_5,positive regulation of leukocyte activation,0.96,13,1,#N/A,0.96,16,0.94,11,1,11,0.82,16,0.66,16
GOTERM_BP_5,embryonic organ morphogenesis,0.92,18,0.88,18,0.77,25,0.86,16,0.7,24,0.68,22,0.88,17
GOTERM_BP_5,regulation of JNK cascade,0.67,11,0.61,11,0.93,10,1,#N/A,0.8,11,0.69,11,1,#N/A
GOTERM_BP_5,regulation of T cell differentiation,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,ion homeostasis,0.99,54,0.9,58,0.97,69,0.95,48,0.94,66,0.99,55,0.98,49
GOTERM_BP_5,DNA metabolic process,0.82,79,0.72,78,0.74,98,0.65,70,0.83,88,0.79,81,0.89,69
GOTERM_BP_5,nucleosome assembly,0.78,13,0.6,14,0.75,16,0.53,13,0.62,16,0.58,15,0.75,12
GOTERM_BP_5,regulation of adaptive immune response,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,intracellular receptor-mediated signaling pathway,0.74,12,0.55,13,0.86,13,0.63,11,0.92,11,0.84,11,1,#N/A
GOTERM_BP_5,"negative regulation of transcription, DNA-dependent",0.89,53,0.92,49,0.77,68,0.77,47,0.95,56,0.95,51,0.93,46
GOTERM_BP_5,limb morphogenesis,0.87,14,0.89,13,0.92,16,0.85,12,0.95,14,0.88,14,0.84,13
GOTERM_BP_5,positive regulation of cyclase activity,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,"di-, tri-valent inorganic cation transport",0.9,25,0.55,29,0.88,31,0.44,27,0.8,30,0.94,24,0.82,24
GOTERM_BP_5,glycerophospholipid metabolic process,0.95,15,0.95,14,0.93,19,0.92,13,0.98,15,0.81,18,0.96,13
GOTERM_BP_5,cellular chemical homeostasis,0.99,49,0.86,55,0.97,64,0.94,45,0.92,62,0.98,52,0.98,46
GOTERM_BP_5,lipoprotein biosynthetic process,1,#N/A,1,#N/A,0.86,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,embryonic appendage morphogenesis,0.94,11,0.95,10,0.95,13,1,#N/A,0.95,12,0.94,11,0.87,11
GOTERM_BP_5,embryonic limb morphogenesis,0.94,11,0.95,10,0.95,13,1,#N/A,0.95,12,0.94,11,0.87,11
GOTERM_BP_5,activation of caspase activity,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of lyase activity,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,positive regulation of neurogenesis,1,#N/A,1,#N/A,0.87,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of stress-activated protein kinase signaling pathway,0.75,11,0.69,11,0.96,10,1,#N/A,0.86,11,0.76,11,1,#N/A
GOTERM_BP_5,negative regulation of RNA metabolic process,0.91,53,0.94,49,0.81,68,0.81,47,0.97,56,0.96,51,0.95,46
GOTERM_BP_5,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of ion transport,0.99,10,0.89,13,0.99,13,0.95,10,0.99,12,0.98,11,0.95,11
GOTERM_BP_5,regulation of cellular catabolic process,1,#N/A,1,#N/A,0.89,10,1,#N/A,1,#N/A,1,#N/A,1,#N/A
GOTERM_BP_5,regulation of metal ion transport,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A,1,#N/A
